,2012,2014,2016,
North African,,,0.10%,
Two or More races,,,0.10%,
Vietnamese/ Vietnamese-American,,,0.10%,
American Indian/ Alaskan Native ,0.40%,0.30%,0.30%,
Korean/ Korean-American,,,0.40%,
Filipino/ Pilipino ,0.60%,0.70%,0.70%,
Middle Eastern,,,0.80%,
Other Spanish/ Spanish American ,1.00%,1.10%,1.10%,
Black/ African American ,1.50%,1.60%,1.70%,
Japanese/ Japanese American ,2.70%,2.50%,2.40%,
Latin American/ Latino ,2.70%,2.40%,2.50%,
Mexican/ Mexican American/ Chicano ,2.90%,2.70%,2.60%,
Other Asian ,4.30%,4.60%,3.90%,
Pakistani/ East Indian ,5.00%,5.10%,5.40%,
European,,0.00%,6.40%,
Chinese/ Chinese American ,9.90%,9.80%,10.20%,
White/ Caucasian,69.00%,69.10%,61.20%,
