,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native ,0.30%,0.30%,0.30%,
Korean/ Korean-American,,,,
Filipino/ Pilipino ,0.30%,0.30%,0.90%,
Middle Eastern,,,,
Other Spanish/ Spanish American ,1.70%,1.10%,0.60%,
Black/ African American ,4.50%,4.90%,5.70%,
Japanese/ Japanese American ,3.10%,3.30%,2.00%,
Latin American/ Latino ,2.20%,2.20%,2.00%,
Mexican/ Mexican American/ Chicano ,6.40%,6.00%,6.30%,
Other Asian ,1.70%,2.50%,1.70%,
Pakistani/ East Indian ,0.80%,0.50%,0.90%,
European,,,0.30%,
Chinese/ Chinese American ,5.00%,4.90%,4.30%,
White/ Caucasian,73.90%,74.10%,75.10%,
