,2012,2014,2016,
North African,,,,
Two or More races,,,1.20%,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native ,0.30%,0.30%,,
Korean/ Korean-American,,,1.20%,
Filipino/ Pilipino ,0.60%,0.60%,0.60%,
Middle Eastern,,,,
Other Spanish/ Spanish American ,0.30%,1.20%,1.20%,
Black/ African American ,1.50%,1.50%,0.90%,
Japanese/ Japanese American ,4.50%,3.60%,3.00%,
Latin American/ Latino ,3.00%,2.10%,1.20%,
Mexican/ Mexican American/ Chicano ,3.90%,2.70%,1.20%,
Other Asian ,3.60%,4.80%,4.80%,
Pakistani/ East Indian ,6.00%,5.10%,5.70%,
European,,,6.90%,
Chinese/ Chinese American,15.40%,14.20%,14.70%,
White/ Caucasian,60.40%,63.90%,57.50%,
,,,,
