,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,5.30%,5.00%,
Middle Eastern,,,,
Other Spanish/ Spanish American,,,,
Black/ African American ,6.30%,5.30%,5.00%,
Japanese/ Japanese American ,6.30%,5.30%,5.00%,
Latin American/ Latino,,5.30%,,
Mexican/ Mexican American/ Chicano,,,5.00%,
Other Asian ,6.30%,10.50%,10.00%,
Pakistani/ East Indian,,,,
European,,,20.00%,
Chinese/ Chinese American ,6.30%,5.30%,5.00%,
White/ Caucasian,75.00%,63.20%,45.00%,
