,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.10%,
American Indian/ Alaskan Native ,0.90%,0.70%,0.90%,
Korean/ Korean-American,,,0.20%,
Filipino/ Pilipino ,1.40%,1.70%,1.70%,
Middle Eastern,,,1.00%,
Other Spanish/ Spanish American ,1.10%,1.10%,1.20%,
Black/ African American ,1.40%,1.80%,2.20%,
Japanese/ Japanese American ,1.80%,1.60%,2.10%,
Latin American/ Latino ,3.60%,3.00%,3.00%,
Mexican/ Mexican American/ Chicano ,5.00%,4.10%,4.50%,
Other Asian ,2.90%,2.80%,2.30%,
Pakistani/ East Indian ,1.80%,2.70%,2.80%,
European,,0.10%,11.50%,
Chinese/ Chinese American ,2.00%,2.70%,2.70%,
White/ Caucasian,78.30%,77.80%,63.80%,
