,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,1.90%,1.70%,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,1.70%,
Middle Eastern,,,1.70%,
Other Spanish/ Spanish American,,1.90%,,
Black/ African American,,,,
Japanese/ Japanese American ,5.70%,3.70%,3.40%,
Latin American/ Latino ,1.90%,,3.40%,
Mexican/ Mexican American/ Chicano ,5.70%,7.40%,6.80%,
Other Asian ,5.70%,3.70%,1.70%,
Pakistani/ East Indian ,1.90%,,3.40%,
European,,,1.70%,
Chinese/ Chinese American ,9.40%,13.00%,10.20%,
White/ Caucasian,69.80%,68.50%,64.40%,
