,2012,2014,2016,
North African,,,0.20%,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.20%,
American Indian/ Alaskan Native,,,0.20%,
Korean/ Korean-American,,,0.40%,
Filipino/ Pilipino ,0.40%,0.40%,0.20%,
Middle Eastern,,,1.90%,
Other Spanish/ Spanish American ,2.40%,1.40%,2.10%,
Black/ African American ,0.70%,1.00%,1.00%,
Japanese/ Japanese American ,1.10%,0.80%,0.60%,
Latin American/ Latino ,2.20%,2.00%,1.90%,
Mexican/ Mexican American/ Chicano ,2.20%,2.00%,1.30%,
Other Asian ,6.90%,7.10%,6.20%,
Pakistani/ East Indian ,9.10%,9.50%,8.80%,
European,,,2.10%,
Chinese/ Chinese American,16.90%,17.60%,18.70%,
White/ Caucasian,58.10%,58.20%,54.20%,
