,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,1.50%,
Filipino/ Pilipino,,,,
Middle Eastern,,,,
Other Spanish/ Spanish American,,,,
Black/ African American,,,1.50%,
Japanese/ Japanese American ,4.70%,4.40%,4.40%,
Latin American/ Latino ,1.60%,1.50%,,
Mexican/ Mexican American/ Chicano ,4.70%,5.90%,4.40%,
Other Asian ,1.60%,1.50%,2.90%,
Pakistani/ East Indian,,,,
European,,,5.90%,
Chinese/ Chinese American ,3.10%,2.90%,4.40%,
White/ Caucasian,84.40%,83.80%,75.00%,
