,2012,2014,2016,
North African,,,0.10%,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.10%,
American Indian/ Alaskan Native ,0.40%,0.30%,0.20%,
Korean/ Korean-American,,,0.30%,
Filipino/ Pilipino ,0.60%,0.70%,0.70%,
Middle Eastern,,,0.90%,
Other Spanish/ Spanish American ,0.70%,1.00%,1.10%,
Black/ African American ,1.30%,1.50%,1.50%,
Japanese/ Japanese American ,3.50%,3.10%,2.90%,
Latin American/ Latino ,2.70%,2.50%,2.90%,
Mexican/ Mexican American/ Chicano ,2.30%,1.90%,2.00%,
Other Asian ,5.20%,5.10%,4.50%,
Pakistani/ East Indian ,6.40%,6.50%,6.80%,
European,,,6.40%,
Chinese/ Chinese American ,12.40%,11.80%,12.50%,
White/ Caucasian,64.60%,65.60%,57.10%,
