,2012,2014,2016,,
North African,,,,,
Two or More races,,,0.90%,,
Vietnamese/ Vietnamese-American,,,,,
American Indian/ Alaskan Native ,0.50%,0.40%,,,
Korean/ Korean-American,,,0.90%,,
Filipino/ Pilipino ,0.90%,0.90%,0.90%,,
Middle Eastern,,,,,
Other Spanish/ Spanish American ,0.50%,1.30%,1.30%,,
Black/ African American ,1.40%,1.30%,0.90%,,
Japanese/ Japanese American ,4.70%,4.40%,4.00%,,
Latin American/ Latino ,2.40%,1.80%,1.30%,,
Mexican/ Mexican American/ Chicano ,2.80%,2.60%,1.80%,,
Other Asian ,2.80%,4.40%,4.40%,,
Pakistani/ East Indian ,7.10%,5.30%,6.20%,,
European,,,5.80%,,
Chinese/ Chinese American,15.10%,17.20%,16.80%,,
White/ Caucasian,61.80%,60.40%,54.90%,,
