,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,,,
Japanese/ Japanese American,,,
Latin American/ Latino,,,
Mexican/ Mexican American/ Chicano,,,11.10%
Other Asian,25.00%,40.00%,22.20%
Pakistani/ East Indian,,,
European,,,22.20%
Chinese/ Chinese American,25.00%,20.00%,11.10%
White/ Caucasian,50.00%,40.00%,33.30%
