,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.20%,
American Indian/ Alaskan Native ,1.60%,1.20%,1.40%,
Korean/ Korean-American,,,0.50%,
Filipino/ Pilipino ,1.60%,1.80%,1.40%,
Middle Eastern,,,1.70%,
Other Spanish/ Spanish American ,1.60%,1.60%,1.40%,
Black/ African American ,1.60%,1.80%,1.90%,
Japanese/ Japanese American ,1.60%,1.40%,2.10%,
Latin American/ Latino ,4.40%,2.80%,2.90%,
Mexican/ Mexican American/ Chicano ,2.80%,3.70%,4.10%,
Other Asian ,3.50%,3.20%,2.40%,
Pakistani/ East Indian ,2.20%,3.50%,3.10%,
European,,,10.00%,
Chinese/ Chinese American ,0.90%,2.50%,2.60%,
White/ Caucasian,78.20%,76.50%,64.20%,
