,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,2.60%,2.40%,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,2.40%,
Middle Eastern,,,2.40%,
Other Spanish/ Spanish American,,2.60%,,
Black/ African American,,,,
Japanese/ Japanese American ,4.90%,2.60%,2.40%,
Latin American/ Latino ,2.40%,,2.40%,
Mexican/ Mexican American/ Chicano ,4.90%,5.10%,7.30%,
Other Asian ,7.30%,5.10%,2.40%,
Pakistani/ East Indian,,,2.40%,
European,,,,
Chinese/ Chinese American ,9.80%,12.80%,7.30%,
White/ Caucasian,70.70%,69.20%,68.30%,
