,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,,,
Japanese/ Japanese American ,5.90%,11.10%,12.50%
Latin American/ Latino ,5.90%,5.60%,
Mexican/ Mexican American/ Chicano ,5.90%,11.10%,12.50%
Other Asian,,,
Pakistani/ East Indian,,,
European,,,6.30%
Chinese/ Chinese American,,,
White/ Caucasian,82.40%,72.20%,68.80%
