,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,12.50%
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,,,
Japanese/ Japanese American,,,
Latin American/ Latino,,,
Mexican/ Mexican American/ Chicano,,20.00%,
Other Asian,,,
Pakistani/ East Indian,,,
European,,,37.50%
Chinese/ Chinese American,,,
White/ Caucasian,100.00%,80.00%,50.00%
