,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,,
Middle Eastern,,,1.40%,
Other Spanish/ Spanish American ,3.50%,3.10%,2.70%,
Black/ African American ,3.50%,1.50%,4.10%,
Japanese/ Japanese American ,3.50%,4.60%,5.50%,
Latin American/ Latino ,3.50%,6.20%,2.70%,
Mexican/ Mexican American/ Chicano ,3.50%,1.50%,4.10%,
Other Asian,,4.60%,2.70%,
Pakistani/ East Indian ,5.30%,6.20%,2.70%,
European,,,13.70%,
Chinese/ Chinese American,12.30%,13.80%,11.00%,
White/ Caucasian,64.90%,58.50%,49.30%,
