,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.60%,
American Indian/ Alaskan Native ,0.30%,0.60%,0.80%,
Korean/ Korean-American,,,0.80%,
Filipino/ Pilipino,,,0.60%,
Middle Eastern,,,0.80%,
Other Spanish/ Spanish American ,1.50%,0.80%,,
Black/ African American ,1.20%,1.10%,1.10%,
Japanese/ Japanese American ,1.80%,1.70%,1.10%,
Latin American/ Latino ,2.40%,2.50%,1.70%,
Mexican/ Mexican American/ Chicano ,2.40%,2.50%,1.90%,
Other Asian ,3.60%,2.80%,2.50%,
Pakistani/ East Indian ,4.70%,5.00%,6.60%,
European,,,3.90%,
Chinese/ Chinese American ,10.10%,10.60%,9.70%,
White/ Caucasian,72.10%,72.50%,67.90%,
