,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,,
Middle Eastern,,,,
Other Spanish/ Spanish American,,,,
Black/ African American,,2.80%,1.50%,
Japanese/ Japanese American,,,,
Latin American/ Latino,,,1.50%,
Mexican/ Mexican American/ Chicano,,,,
Other Asian ,5.40%,5.60%,6.20%,
Pakistani/ East Indian ,8.10%,8.30%,12.30%,
European,,,10.80%,
Chinese/ Chinese American ,5.40%,5.60%,3.10%,
White/ Caucasian,81.10%,77.80%,64.60%,
