,2012,2014,2016,
North African,,,,
Two or More races,,,0.40%,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,1.10%,
Filipino/ Pilipino ,0.80%,1.10%,0.40%,
Middle Eastern,,,0.40%,
Other Spanish/ Spanish American ,0.40%,,0.40%,
Black/ African American,,,,
Japanese/ Japanese American ,1.10%,1.80%,1.80%,
Latin American/ Latino ,1.90%,1.80%,2.50%,
Mexican/ Mexican American/ Chicano ,1.10%,1.80%,1.10%,
Other Asian ,0.80%,1.50%,0.70%,
Pakistani/ East Indian ,3.40%,3.60%,3.20%,
European,,,3.90%,
Chinese/ Chinese American ,2.30%,5.80%,5.70%,
White/ Caucasian,88.20%,82.50%,78.70%,
