,2012,2014,2016,
North African,,,0.10%,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.20%,
American Indian/ Alaskan Native ,0.30%,0.30%,0.20%,
Korean/ Korean-American,,,0.30%,
Filipino/ Pilipino ,0.40%,0.50%,0.40%,
Middle Eastern,,,0.80%,
Other Spanish/ Spanish American ,0.50%,0.50%,0.80%,
Black/ African American ,1.30%,1.20%,1.30%,
Japanese/ Japanese American ,3.70%,3.00%,3.40%,
Latin American/ Latino ,2.40%,2.30%,2.60%,
Mexican/ Mexican American/ Chicano ,2.00%,1.80%,1.90%,
Other Asian ,4.60%,4.70%,4.20%,
Pakistani/ East Indian ,6.50%,6.30%,6.80%,
European,,,5.20%,
Chinese/ Chinese American ,11.30%,10.90%,12.20%,
White/ Caucasian,67.10%,68.40%,59.60%,
