,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,0.80%,0.40%,
Korean/ Korean-American,,,,
Filipino/ Pilipino ,0.40%,0.40%,0.40%,
Middle Eastern,,,,
Other Spanish/ Spanish American ,0.40%,0.80%,0.80%,
Black/ African American ,0.80%,0.80%,0.80%,
Japanese/ Japanese American ,0.40%,0.80%,1.60%,
Latin American/ Latino ,3.60%,3.50%,3.50%,
Mexican/ Mexican American/ Chicano ,2.80%,2.30%,4.30%,
Other Asian ,0.40%,0.40%,,
Pakistani/ East Indian ,2.00%,2.30%,2.30%,
European,,,5.00%,
Chinese/ Chinese American ,2.40%,3.10%,3.90%,
White/ Caucasian,86.80%,84.90%,77.10%,
