,2012,2014,2016,,
North African,,,,,
Two or More races,,,,,
Vietnamese/ Vietnamese-American,,,,,
American Indian/ Alaskan Native,,,,,
Korean/ Korean-American,,,,,
Filipino/ Pilipino,,,3.20%,,
Middle Eastern,,,,,
Other Spanish/ Spanish American,,,,,
Black/ African American,,5.00%,,,
Japanese/ Japanese American ,7.10%,10.00%,3.20%,,
Latin American/ Latino,,,,,
Mexican/ Mexican American/ Chicano ,7.10%,5.00%,3.20%,,
Other Asian,,5.00%,,,
Pakistani/ East Indian,,,3.20%,,
European,,,16.10%,,
Chinese/ Chinese American ,7.10%,5.00%,3.20%,,
White/ Caucasian,78.60%,70.00%,67.70%,,
