,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,0.90%,
Filipino/ Pilipino ,1.00%,0.90%,0.90%,
Middle Eastern,,,2.60%,
Other Spanish/ Spanish American ,2.10%,1.80%,1.70%,
Black/ African American ,3.10%,1.80%,2.60%,
Japanese/ Japanese American ,5.20%,5.40%,6.00%,
Latin American/ Latino ,2.10%,3.60%,2.60%,
Mexican/ Mexican American/ Chicano ,3.10%,2.70%,3.40%,
Other Asian ,4.20%,7.10%,3.40%,
Pakistani/ East Indian ,5.20%,8.00%,6.00%,
European,,,10.30%,
Chinese/ Chinese American,12.50%,11.60%,9.40%,
White/ Caucasian,61.50%,57.10%,50.40%,
