,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.50%,
American Indian/ Alaskan Native ,0.20%,0.50%,0.90%,
Korean/ Korean-American,,,0.90%,
Filipino/ Pilipino,,,0.50%,
Middle Eastern,,,0.70%,
Other Spanish/ Spanish American ,1.70%,0.90%,0.70%,
Black/ African American ,1.00%,1.20%,0.90%,
Japanese/ Japanese American ,1.50%,1.40%,0.90%,
Latin American/ Latino ,2.20%,2.30%,1.60%,
Mexican/ Mexican American/ Chicano ,2.00%,2.80%,2.30%,
Other Asian ,3.70%,3.00%,3.00%,
Pakistani/ East Indian ,5.40%,5.10%,5.90%,
European,,,5.50%,
Chinese/ Chinese American ,11.00%,10.70%,10.50%,
White/ Caucasian,71.30%,72.10%,65.30%,
