,2012,2014,2016,
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,,
Middle Eastern,,,,
Other Spanish/ Spanish American,,1.90%,1.30%,
Black/ African American,,3.80%,2.50%,
Japanese/ Japanese American,,,,
Latin American/ Latino ,1.90%,,1.30%,
Mexican/ Mexican American/ Chicano,,,,
Other Asian ,7.40%,7.50%,7.50%,
Pakistani/ East Indian ,5.60%,5.70%,10.00%,
European,,,8.80%,
Chinese/ Chinese American ,7.40%,5.70%,5.00%,
White/ Caucasian,77.80%,75.50%,63.80%,
