,2012,2014,2016
North African,,,0.30%
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native ,0.60%,0.50%,
Korean/ Korean-American,,,0.30%
Filipino/ Pilipino ,0.30%,0.50%,0.60%
Middle Eastern,,,0.30%
Other Spanish/ Spanish American ,1.50%,1.70%,0.90%
Black/ African American ,1.50%,0.50%,1.50%
Japanese/ Japanese American ,3.00%,3.00%,4.40%
Latin American/ Latino ,2.40%,1.00%,1.80%
Mexican/ Mexican American/ Chicano ,1.80%,2.20%,2.00%
Other Asian ,6.30%,8.90%,6.70%
Pakistani/ East Indian ,2.70%,4.20%,4.70%
European,,,3.80%
Chinese/ Chinese American ,10.30%,10.90%,11.70%
White/ Caucasian,69.50%,66.60%,61.10%
