,2012,2014,2016,
North African,,,,
Two or More races,,,0.50%,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,0.80%,
Filipino/ Pilipino ,0.60%,0.80%,0.30%,
Middle Eastern,,,0.30%,
Other Spanish/ Spanish American ,0.80%,0.30%,0.30%,
Black/ African American,,,,
Japanese/ Japanese American ,0.80%,1.60%,1.80%,
Latin American/ Latino ,2.30%,2.20%,2.30%,
Mexican/ Mexican American/ Chicano ,2.00%,1.60%,0.80%,
Other Asian ,1.40%,1.60%,0.80%,
Pakistani/ East Indian ,3.40%,3.20%,2.80%,
European,,,6.00%,
Chinese/ Chinese American ,3.40%,5.60%,5.70%,
White/ Caucasian,85.40%,83.10%,77.70%,
