,2012,2014,2016,
North African,,,0.20%,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native ,0.20%,0.50%,0.70%,
Korean/ Korean-American,,,,
Filipino/ Pilipino ,0.50%,0.50%,0.20%,
Middle Eastern,,,0.20%,
Other Spanish/ Spanish American ,0.90%,1.40%,1.30%,
Black/ African American ,3.30%,2.80%,3.30%,
Japanese/ Japanese American ,0.90%,1.60%,1.60%,
Latin American/ Latino ,3.70%,4.20%,3.60%,
Mexican/ Mexican American/ Chicano ,2.80%,2.60%,3.80%,
Other Asian ,1.40%,1.90%,1.80%,
Pakistani/ East Indian ,1.60%,1.60%,1.80%,
European,,,5.60%,
Chinese/ Chinese American ,2.80%,2.80%,3.80%,
White/ Caucasian,81.70%,80.20%,72.20%,
