,2012,2014,2016
North African,,,
Two or More races,,,1.90%
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,1.90%
Filipino/ Pilipino,,,
Middle Eastern,,,
Other Spanish/ Spanish American,,1.00%,0.90%
Black/ African American,1.70%,1.90%,0.90%
Japanese/ Japanese American,4.20%,1.90%,0.90%
Latin American/ Latino,5%,2.90%,0.90%
Mexican/ Mexican American/ Chicano,5.90%,2.90%,
Other Asian,5%,5.70%,5.60%
Pakistani/ East Indian,4.20%,4.80%,4.60%
European,,,9.30%
Chinese/ Chinese American,16.00%,7.60%,10.20%
White/ Caucasian,58.00%,71.40%,63.00%
