,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,0.70%
Middle Eastern,,,
Other Spanish/ Spanish American,2.00%,,0.60%
Black/ African American,4.10%,4.50%,6.10%
Japanese/ Japanese American,5.40%,5.20%,2.70%
Latin American/ Latino,2%,1.90%,1.40%
Mexican/ Mexican American/ Chicano,6.80%,6.50%,5.40%
Other Asian,2.70%,4.50%,2.00%
Pakistani/ East Indian,0.70%,,
European,,,0.70%
Chinese/ Chinese American,7.50%,6.50%,5.40%
White/ Caucasian,68.70%,70.10%,75.50%
