,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,7.10%,9.10%
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,8.30%,7.10%,9.10%
Japanese/ Japanese American,8.30%,7.10%,9.10%
Latin American/ Latino,,7.10%,
Mexican/ Mexican American/ Chicano,,,
Other Asian,,,
Pakistani/ East Indian,,,
European,,,18.20%
Chinese/ Chinese American,,,
White/ Caucasian,83.30%,71.40%,54.50%
