,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,0.30%,0.30%,0.20%
Korean/ Korean-American,,,
Filipino/ Pilipino,1.20%,1.50%,2.00%
Middle Eastern,,,0.20%
Other Spanish/ Spanish American,0.60%,0.50%,1.00%
Black/ African American,1.20%,1.80%,2.50%
Japanese/ Japanese American,2.00%,1.80%,2.00%
Latin American/ Latino,2.00%,3.30%,3.20%
Mexican/ Mexican American/ Chicano,6.90%,4.60%,5.00%
Other Asian,2.30%,2.30%,2.20%
Pakistani/ East Indian,1.40%,1.80%,2.50%
European,,0.30%,13.10%
Chinese/ Chinese American,2.90%,2.80%,2.70%
White/ Caucasian,78.30%,79.20%,63.40%
