,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,,,
Japanese/ Japanese American,8.30%,6.70%,5.60%
Latin American/ Latino,,,5.60%
Mexican/ Mexican American/ Chicano,8.30%,13.30%,5.60%
Other Asian,,,
Pakistani/ East Indian,8.30%,,5.60%
European,,,5.60%
Chinese/ Chinese American,8.30%,13.30%,16.70%
White/ Caucasian,66.70%,66.70%,55.60%
