,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,
Filipino/ Pilipino,,,
Middle Eastern,,,1.10%
Other Spanish/ Spanish American,1.40%,2.90%,3.40%
Black/ African American,1.40%,1.40%,2.30%
Japanese/ Japanese American,2.80%,2.90%,2.30%
Latin American/ Latino,,,1.10%
Mexican/ Mexican American/ Chicano,4.20%,7.10%,2.30%
Other Asian,6.90%,4.30%,4.60%
Pakistani/ East Indian,5.60%,7.10%,6.90%
European,,,4.60%
Chinese/ Chinese American,26.40%,25.70%,21.80%
White/ Caucasian,50.00%,48.60%,49.40%
