,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,,,
Korean/ Korean-American,,,1.90%
Filipino/ Pilipino,,,
Middle Eastern,,,
Other Spanish/ Spanish American,,,
Black/ African American,,,1.90%
Japanese/ Japanese American,4.30%,2.00%,1.90%
Latin American/ Latino,,,
Mexican/ Mexican American/ Chicano,4.30%,4.00%,1.90%
Other Asian,2.10%,2.00%,3.80%
Pakistani/ East Indian,,,
European,,,5.80%
Chinese/ Chinese American,4.30%,4.00%,5.80%
White/ Caucasian,85.10%,88.00%,76.90%
