,2012,2014,2016
North African,,,
Two or More races,,,
Vietnamese/ Vietnamese-American,,,
American Indian/ Alaskan Native,1.50%,1.20%,
Korean/ Korean-American,,,
Filipino/ PilipinO,0.70%,0.60%,1.40%
Middle Eastern,,,0.70%
Other Spanish/ Spanish American,,0.60%,
Black/ African American,2.20%,0.60%,1.40%
Japanese/ Japanese American,2.20%,1.80%,5.70%
Latin American/ Latino,3%,0.60%,0.70%
Mexican/ Mexican American/ Chicano,3.00%,2.90%,2.90%
Other Asian,7.50%,9.40%,5.70%
Pakistani/ East Indian,2.20%,4.70%,5.00%
European,,,0.70%
Chinese/ Chinese American,11.20%,10.60%,16.40%
White/ Caucasian,66.40%,67.10%,59.30%
