"",2012,,2014,,2016
North African,,,,,
Two or More races,,,,,
Vietnamese/ Vietnamese-American,,,,,
American Indian/ Alaskan Native,,,,,
Korean/ Korean-American,,,,,
Filipino/ Pilipino,,,,,
Middle Eastern,,,,,
Other Spanish/ Spanish American,,,,,
Black/ African American,,6.7%,,,
Japanese/ Japanese American 10.0%,,13.3%,,4.3%,
Latin American/ Latino,,,,,
Mexican/ Mexican American/ Chicano 10.0%,,,,4.3%,
Other Asian,,6.7%,,,
Pakistani/ East Indian,,,,4.3%,
European,,,,8.7%,
Chinese/ Chinese American 10.0%,,6.7%,,4.3%,
White/ Caucasian,70.0%,,66.7%,,73.9%
