"",2012,2014,,2016
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,2.3%,
Filipino/ Pilipino 2.6%,,2.1%,2.3%,
Middle Eastern,,,4.5%,
Other Spanish/ Spanish American,,,,
Black/ African American 2.6%,,2.1%,,
Japanese/ Japanese American 7.7%,,6.4%,6.8%,
Latin American/ Latino,,,2.3%,
Mexican/ Mexican American/ Chicano 2.6%,,4.3%,2.3%,
Other Asian 10.3%,,10.6%,4.5%,
Pakistani/ East Indian 5.1%,,10.6%,11.4%,
European,,,4.5%,
Chinese/ Chinese American,12.8%,8.5%,6.8%,
White/ Caucasian,56.4%,55.3%,,52.3%
