"",2012,2014,,2016
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,1.3%,
Korean/ Korean-American,,,1.3%,
Filipino/ Pilipino,,,,
Middle Eastern,,,,
Other Spanish/ Spanish American 2.8%,,1.4%,3.9%,
Black/ African American,,1.4%,,
Japanese/ Japanese American,,,,
Latin American/ Latino 1.4%,,1.4%,1.3%,
Mexican/ Mexican American/ Chicano,,4.3%,3.9%,
Other Asian 4.2%,,4.3%,5.2%,
Pakistani/ East Indian 8.5%,,5.7%,2.6%,
European,,,13.0%,
Chinese/ Chinese American,15.5%,11.4%,14.3%,
White/ Caucasian,67.6%,70.0%,,53.2%
