"",2012,2014,,2016
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,,
American Indian/ Alaskan Native,,,,
Korean/ Korean-American,,,,
Filipino/ Pilipino,,,,
Middle Eastern,,,,
Other Spanish/ Spanish American,,5.9%,6.7%,
Black/ African American,,5.9%,6.7%,
Japanese/ Japanese American,,,,
Latin American/ Latino 5.9%,,,,
Mexican/ Mexican American/ Chicano,,,,
Other Asian 11.8%,,11.8%,13.3%,
Pakistani/ East Indian,,,,
European,,,,
Chinese/ Chinese American 11.8%,,5.9%,13.3%,
White/ Caucasian,70.6%,70.6%,,60.0%
