"",2012,2014,,2016
North African,,,,
Two or More races,,,,
Vietnamese/ Vietnamese-American,,,0.1%,
American Indian/ Alaskan Native 0.6%,,0.4%,0.2%,
Korean/ Korean-American,,,0.2%,
Filipino/ Pilipino 0.9%,,0.9%,1.1%,
Middle Eastern,,,1.1%,
Other Spanish/ Spanish American 0.8%,,1.7%,1.4%,
Black/ African American 1.4%,,1.9%,1.9%,
Japanese/ Japanese American 3.2%,,3.1%,2.3%,
Latin American/ Latino 3.2%,,2.7%,3.3%,
Mexican/ Mexican American/ Chicano 2.7%,,2.1%,2.3%,
Other Asian 6.1%,,5.7%,4.8%,
Pakistani/ East Indian 6.1%,,6.8%,6.8%,
European,,,8.1%,
Chinese/ Chinese American,14.1%,13.3%,12.9%,
White/ Caucasian,60.8%,61.3%,,53.6%
