2016 Academic Senate Faculty,29%,71%,
Non-Senate Instructional Faculty,69%,,
Librarian,,,
Research,36%,64%,
Other Academic Titles,,,
Medical Interns and Residents,,,
2014 Academic Senate Faculty,26%,74%,
Non-Senate Instructional Faculty,71%,,
Librarian,,,
Research,39%,61%,
Other Academic Titles,100%,,
Medical Interns and Residents,,,
2012 Academic Senate Faculty,24%,76%,
Non-Senate Instructional Faculty,74%,,
Librarian,,,
Research,43%,,57%
Other Academic Titles,,,
Medical Interns and Residents,,,
