2016 Academic Senate Faculty,67%,,,,,
Non-Senate Instructional Faculty,,,53%,,,47%
Librarian,,,,,,
Research,,,,,,
Other Academic Titles,60%,,,40%,,
Medical Interns and Residents,,,,,,
2014 Academic Senate Faculty,75%,,,,,
Non-Senate Instructional Faculty,,64%,,36%,,
Librarian,,,,,,
Research,,,,,,
Other Academic Titles,,73%,,27%,,
Medical Interns and Residents,,,,,,
2012 Academic Senate Faculty,67%,,,,,
Non-Senate Instructional Faculty,,69%,,31%,,
Librarian,,,,,,
Research,,,,,,
Other Academic Titles,,,77%,23%,,
Medical Interns and Residents,,,,,,
